48.49899300;2.18764859;cannibal;
48.49864063;2.18417263;immoral butchers;
48.49122412;2.18302329;cultist;
48.49667602;2.18345084;immoral butchers;
48.49755767;2.18775734;starving waste lander;
48.49593399;2.18238829;cannibal;
48.49549500;2.18935934;starving waste lander;
48.49377278;2.18679765;starving waste lander;
48.49918506;2.18998396;immoral butchers;
48.49545235;2.18916594;cultist;
48.49237097;2.18093751;cultist;
48.49831374;2.18915211;immoral butchers;
48.49684441;2.18676728;immoral butchers;
48.49620673;2.18857326;cultist;
48.49474452;2.18652038;cannibal;
48.49587844;2.18411073;cultist;
48.49710497;2.18384052;starving waste lander;
48.49550499;2.18653113;cultist;
48.49936619;2.18906466;cannibal;
48.49689394;2.18394402;cannibal;
